time,text,support,against,post_id
2023年12月9日 06:46:03,"['聽日投票率：', '', '大過30%', '小過30%']",4,40,3573503
2023年12月9日 06:53:49,"['高又點？低又點？', '投票率低不代表市民不支持選舉', '我就已經睇到由治及興帶嚟嘅好處喇']",1,2,3573503
2023年12月9日 07:03:27,"['一定過30%', '就算唔夠咪作個數出黎', '反正個閪政府都信唔過', '同埋港豬都係大多數']",1,2,3573503
2023年12月9日 23:38:49,['今晚11點前取消哂未投票選民嘅嘅投票資格咪100%囉'],0,0,3573503
2023年12月9日 23:46:13,['是但啦，鳩up姐'],0,0,3573503
2023年12月10日 00:02:38,['好多人好悲觀'],1,0,3573503
